Subject,Subset,Trial,Assistance,Training,ergodicity,error,successtime,tts
1,1,1,0,0,0.62631300000000001,0.58750500000000005,0.0,30.008333
1,7,1,1,0,0.79157999999999995,0.71844200000000003,0.13333300000000001,29.841667000000001
1,1,2,0,0,0.71003400000000005,0.63303799999999999,0.0,30.008333
1,7,2,1,0,0.50323700000000005,0.59070299999999998,0.71666700000000005,13.458333
1,1,3,0,0,0.68367800000000001,0.62056199999999995,0.0,30.008333
1,7,3,1,0,0.445469,0.51457299999999995,0.14999999999999999,15.841666
1,1,4,0,0,0.64654199999999995,0.60134399999999999,0.0,30.008333
1,7,4,1,0,0.68903800000000004,0.65056599999999998,0.050000000000000003,25.774999999999999
1,1,5,0,0,0.95341399999999998,0.71766399999999997,0.0,30.008333
1,7,5,1,0,0.49707499999999999,0.56476000000000004,1.8833329999999999,9.7750000000000004
1,2,1,0,0,1.061296,0.74275100000000005,0.0,30.008333
1,8,1,1,0,0.41674099999999997,0.57821400000000001,3.8166669999999998,10.908334
1,2,2,0,0,0.55775300000000005,0.55880799999999997,0.0,30.008333
1,8,2,1,0,0.93676000000000004,0.73099199999999998,0.0,30.008333
1,2,3,0,0,0.49291499999999999,0.54759599999999997,0.0,30.008333
1,8,3,1,0,0.77247100000000002,0.66096600000000005,0.183333,26.808332
1,2,4,0,0,0.52913399999999999,0.54759599999999997,0.0,30.008333
1,8,4,1,0,0.71418700000000002,0.67745699999999998,0.016667000000000001,17.024999999999999
1,2,5,0,0,0.85744900000000002,0.68449499999999996,0.14999999999999999,27.058332
1,8,5,1,0,0.59416800000000003,0.61514999999999997,1.266667,22.924999
1,3,1,0,0,0.82335999999999998,0.68309900000000001,0.0,30.008333
1,9,1,1,0,1.1774169999999999,0.7873,0.0,30.008333
1,3,2,0,0,0.56590200000000002,0.56181899999999996,0.0,30.008333
1,9,2,1,0,0.94145599999999996,0.72989199999999999,0.0,30.008333
1,3,3,0,0,1.0758350000000001,0.74493799999999999,0.0,30.008333
1,9,3,1,0,0.85921499999999995,0.676709,0.0,30.008333
1,3,4,0,0,0.54659500000000005,0.56321100000000002,0.0,30.008333
1,9,4,1,0,0.71113499999999996,0.67658300000000005,0.0,30.008333
1,3,5,0,0,0.38213999999999998,0.51143899999999998,1.8833329999999999,7.4749999999999996
1,9,5,1,0,0.58721599999999996,0.61440499999999998,0.0,30.008333
1,4,1,0,0,0.38827099999999998,0.52042200000000005,1.6000000000000001,7.9916669999999996
1,10,1,1,0,0.64863400000000004,0.62451599999999996,0.53333299999999995,25.808332
1,4,2,0,0,1.117496,0.73910600000000004,0.0,30.008333
1,10,2,1,0,0.62115699999999996,0.64951499999999995,1.3,20.658332999999999
1,4,3,0,0,0.80913199999999996,0.66020599999999996,0.68333299999999997,29.274999999999999
1,10,3,1,0,0.66868700000000003,0.64932699999999999,0.11666700000000001,27.625
1,4,4,0,0,0.50430699999999995,0.55957800000000002,0.0,30.008333
1,10,4,1,0,0.73612999999999995,0.69339600000000001,1.2166669999999999,20.725000000000001
1,4,5,0,0,0.60557300000000003,0.58680600000000005,0.0,30.008333
1,10,5,1,0,0.52356999999999998,0.58832600000000002,0.86666699999999997,12.308332999999999
1,5,1,0,0,0.962669,0.71383200000000002,0.0,30.008333
1,11,1,1,0,0.37559300000000001,0.526173,1.75,14.708333
1,5,2,0,0,0.66795199999999999,0.61022299999999996,0.0,30.008333
1,11,2,1,0,0.89773700000000001,0.72671399999999997,0.0,30.008333
1,5,3,0,0,0.542655,0.56405700000000003,0.29999999999999999,7.4416669999999998
1,11,3,1,0,0.97636999999999996,0.71711899999999995,0.0,30.008333
1,5,4,0,0,1.105998,0.73290699999999998,0.0,30.008333
1,11,4,1,0,0.44279099999999999,0.54218699999999997,0.466667,22.774999999999999
1,5,5,0,0,0.680589,0.621,0.0,30.008333
